PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
107.20308505747126,23150919.540229887,2486818901.1494255,6,7,4,76.0,87,3,4,69.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.34465598290599,20589744.615384616,2212364492.4786325,6,10,3,104.0,117,7,3,94.0
102.74711388888888,27980000.0,2534672884.5555553,12,13,6,71.0,90,7,6,58.0
107.4147130769231,25494423.076923076,2738824932.2115383,2,6,0,46.0,52,6,0,40.0
,,,0,0,0,0.0,0,0,0,0.0
107.23345,17633333.333333332,1891597928.3333333,0,4,0,26.0,30,4,0,22.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.1597483870968,13620537.634408602,1459313225.2688172,0,5,1,87.0,93,4,1,82.0
103.17101654545453,24962181.818181816,2577371087.672727,10,11,3,96.0,110,8,3,85.0
101.81477994047621,26043154.76190476,2595953999.375,7,13,13,142.0,168,0,13,129.0
106.6709319130435,20748695.652173914,2213883232.0,0,10,2,103.0,115,8,2,93.0
106.9699144,15875640.0,1697737486.05,1,6,1,118.0,125,5,1,112.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
96.85277886363633,22543863.636363637,1863699524.090909,1,7,4,77.0,88,3,4,70.0
103.70563230088497,30339292.03539823,2886945770.1327434,15,12,6,95.0,113,6,6,83.0
104.08259362962967,18699111.111111112,1926899162.4740741,3,6,4,125.0,135,2,4,119.0
107.05130141509433,14341603.773584906,1535892916.509434,1,3,1,102.0,106,2,1,99.0
106.97275723684209,9870789.47368421,1055839207.7302631,0,6,2,68.0,76,4,2,62.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.34234366197181,13497887.323943662,1447923485.915493,1,7,5,59.0,71,2,5,52.0
107.33659425287354,21878735.63218391,2347417398.275862,0,9,4,74.0,87,5,4,65.0
105.48573589641434,24807689.24302789,2617160751.4143424,10,32,11,208.0,251,21,11,176.0
102.6129709395973,19808758.389261745,2005648665.3942952,4,13,7,129.0,149,6,7,116.0
107.92111308411216,18616822.429906543,2008772118.6915889,0,10,4,93.0,107,6,4,83.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
87.26186790697675,33174418.604651164,2616364562.7906976,1,22,16,48.0,86,6,16,26.0
108.44208,9400000.0,1019104380.0,0,0,0,15.0,15,0,0,15.0
,,,0,0,0,0.0,0,0,0,0.0
108.58656875,8093750.0,878471187.5,0,1,0,15.0,16,1,0,14.0
108.37779827586205,15928620.689655172,1726282189.6551723,0,0,0,29.0,29,0,0,29.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
108.11823103448278,25793103.44827586,2770003875.862069,2,2,1,26.0,29,1,1,24.0
108.5883784482759,12017241.379310345,1305433637.0689654,0,12,0,46.0,58,12,0,34.0
,,,0,0,0,0.0,0,0,0,0.0
108.32513017241384,18385474.137931034,1991176058.0689654,2,6,1,109.0,116,5,1,103.0
108.47922739726027,18506849.315068495,2007840236.9863014,1,8,3,62.0,73,5,3,54.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
99.27711921985819,18787241.134751774,1806542823.2269504,3,17,9,115.0,141,8,9,98.0
105.64877934210527,27488947.36842105,2909672456.5526314,13,15,5,132.0,152,10,5,117.0
104.88751780303033,16425151.515151516,1695066932.1969697,1,10,4,118.0,132,6,4,108.0
108.0841265408805,16150943.396226415,1745951920.125786,3,6,3,150.0,159,3,3,144.0
108.25758177304964,20889007.09219858,2261988285.106383,6,1,0,140.0,141,1,0,139.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
108.14720560344834,17698275.862068966,1915151114.6551723,1,2,0,114.0,116,2,0,112.0
105.72227430051814,20347150.259067357,2140404846.0103626,4,13,7,173.0,193,6,7,160.0
108.14233961038957,17363993.506493505,1876220283.116883,2,15,4,135.0,154,11,4,120.0
90.72179963800905,21565610.859728508,1898450843.5294118,3,43,30,148.0,221,13,30,105.0
103.69027009900988,19114851.485148516,1937076894.5544555,0,12,10,79.0,101,2,10,67.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.96395454545454,13636363.636363637,1472313454.5454545,0,0,0,11.0,11,0,0,11.0
104.26010478260878,23147826.086956523,2411214714.7826085,10,14,5,96.0,115,9,5,82.0
107.7896485227273,14921931.818181818,1610521318.0681818,1,6,2,80.0,88,4,2,74.0
107.38631336492891,16585355.450236967,1781712533.3554502,2,15,3,193.0,211,12,3,178.0
98.31393271334795,23969080.962800875,2183154900.3282275,9,53,38,366.0,457,15,38,313.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
108.16441481481482,17401851.85185185,1885473639.0432098,2,34,8,282.0,324,26,8,248.0
102.57703133333337,14792307.692307692,1473518190.128205,0,31,7,157.0,195,24,7,126.0
103.56377764574016,19141434.977578476,1945920638.8520179,6,68,36,342.0,446,32,36,274.0
91.23287211221121,23876831.683168318,1981132146.6270628,3,55,40,208.0,303,15,40,153.0
104.40830418502208,19196475.77092511,2004153293.6123347,6,17,8,202.0,227,9,8,185.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
101.90801699324325,18969594.594594594,1907884131.587838,5,28,12,256.0,296,16,12,228.0
106.08673999999998,15960233.918128654,1693093432.631579,2,9,3,159.0,171,6,3,150.0
106.14487120331961,15137634.854771784,1607882187.3236516,2,19,4,218.0,241,15,4,199.0
106.76498112745092,13134607.843137255,1401884492.264706,1,22,3,179.0,204,19,3,157.0
107.08531620370368,16689814.814814815,1787151858.101852,1,24,2,190.0,216,22,2,166.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.41652049689434,21080186.335403726,2190983240.68323,5,19,4,138.0,161,15,4,119.0
100.27520736842106,17950736.842105262,1760060835.6578948,7,22,19,149.0,190,3,19,127.0
112.32304440559437,13889720.27972028,1512060540.909091,2,6,4,133.0,143,2,4,127.0
108.45256418439712,17109078.014184397,1869008923.5460992,1,6,2,133.0,141,4,2,127.0
107.3989924691358,19176543.209876545,2050700903.1925926,3,3,0,78.0,81,3,0,75.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.5968791666667,13501309.523809524,1445768094.5595238,0,3,2,79.0,84,1,2,76.0
100.09896666666667,17115480.2259887,1679187070.19774,2,9,4,164.0,177,5,4,155.0
107.14664219858155,20716312.056737587,2218415094.326241,2,9,1,131.0,141,8,1,122.0
107.6448611111111,25757777.777777776,2771421266.0493827,3,2,0,79.0,81,2,0,77.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
120.93815747126432,19350574.71264368,2350624255.172414,1,7,1,79.0,87,6,1,72.0
107.74807029702968,19882079.207920793,2142091401.7821782,4,7,3,91.0,101,4,3,84.0
107.61761652173915,18039130.43478261,1941985513.5652175,1,4,1,110.0,115,3,1,106.0
107.88299116402116,21107671.95767196,2277622497.8042326,4,4,2,183.0,189,2,2,179.0
108.10838276836157,19397740.11299435,2097408861.5254238,5,3,0,174.0,177,3,0,171.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
107.44078853448273,23493568.96551724,2523064332.349138,8,2,1,229.0,232,1,1,227.0
110.05564666666665,22798472.222222224,2676935209.5,3,6,0,174.0,180,6,0,168.0
108.05464305555557,20306250.0,2194932770.486111,2,1,1,142.0,144,0,1,141.0
108.09695133333335,17770333.333333332,1920682921.5166667,0,0,0,150.0,150,0,0,150.0
108.01100921052631,15740855.263157895,1700855658.881579,1,1,1,150.0,152,0,1,149.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
